State,Industry_Type,Year,Industrial_Output_Crore,Employment_Lakh,Investment_Crore,Factories_Count,Pollution_Index,Electricity_Consumption_GWh,Export_Crore
Uttarakhand ,Mining,2017,31921,89.3,2142,9572,66.15,6993,13671
Haryana,Food Processing,2023,732,34.76,901,5809,75.4,14080,20125
Andhra Pradesh,Electronics,2015,12207,26.23,16158,7564,64.46,7959,24185
Punjab,Automobile,2022,15457,27.29,Unknown,7455,25.25,1147,292
Andhra Pradesh,Pharmaceutical,2023,17622,49.52,7740,8678,71.3,,6914
West Bengal,Pharmaceutical,2024,30110,47.15,21793,9397,59.88,14788,
Maharashtra,Mining,2017,1747,16.08,nan,4772,18.27,,
Maharashtra,Electronics,2023,15435,2.42,3258,3502,69.61,,3726
Jharkhand,Mining,2019,7651,62.03,4379,4302,56.73,4844,1913
Goa,Pharmaceutical,2024,43464,71.45,8762,3064,75.83,11410,8116
Maharashtra,Food Processing,2021,37080,93.91,22120,131,19.14,12412,18097
Karnataka,Mining,2022,49089,10.95,19277,1198,25.33,4794,19075
West Bengal,Electronics,2015,35887,75.93,6190,138,57.84,8563,9992
nan ,,2022,28253,99.35,3915,6825,19.43,7268,6868
Tamil Nadu,IT,2018,2205,58.96,13037,5358,36.95,11887,5800
Jharkhand,IT,2018,15280,69.55,21215,8940,27.4,13699,22784
Tamil Nadu,Steel,2019,8895,26.2,5217,2186,22.4,11017,4027
Odisha,Textile,2019,36200,59.29,24178,7759,88.33,11402,24648
Maharashtra,Steel,2022,6020,98.57,23493,1101,,14719,7518
Rajasthan,Chemical,2020,48016,96.57,16277,5462,67.67,18471,21580
Bihar,Steel,2019,47648,13.86,27147,7095,10.91,11129,20855
Uttarakhand,IT,2019,,9.04,13754,5953,71.14,,20346
Jharkhand,Automobile,2021,24700,93.25,28102,3290,30.81,15953,1662
Jharkhand,Textile,2019,35140,25.81,27223,1113,52.93,17705,14256
Odisha,Steel,2020,19320,77.96,22654,3262,34.59,11146,258
Chhattisgarh,Food Processing,2018,38037,96.31,14801,9085,92.22,5861,1250
Andhra Pradesh,Steel,2022,27174,88.07,nan,7432,43.69,528,16662
Tamil Nadu,Chemical,2017,36631,62.74,20854,6564,,15222,21868
nan,Steel,2016,23370,,29361,1190,69.73,7212,2821
Chhattisgarh,Energy,2015,46394,52.45,9454,,22.67,,6819
Jharkhand,Steel,2024,12282,84.97,25948,1704,83.39,4995,18245
Kerala,Automobile,2025,20952,87.79,19075,,44.27,11088,10195
Madhya Pradesh,Mining,2021,9901,90.36,26429,9263,61.7,15315,15533
Andhra Pradesh,Pharmaceutical,2016,20190,28.05,27839,8790,44.77,14196,11993
Rajasthan,Steel,2020,28970,85.21,29239,5236,,18841,6967
Odisha,Mining,2023,2406,92.67,3653,9940,78.23,15106,23329
Telangana,Steel,2015,6381,12.26,21218,,78.84,5828,2375
Telangana,Textile,2017,21739,84.56,4700,624,81.89,17265,350
nan,IT,2023,33522,2.17,14175,1871,75.81,16531,13179
Uttar Pradesh,Electronics,2021,4953,74.68,5343,3502,45.11,13910,22533
Haryana,Automobile,2022,30294,55.7,13995,4517,,13759,2293
Chhattisgarh,Energy,2022,7507,96.97,15728,8588,57.67,15032,1650
Gujarat,Pharmaceutical,2025,,50.5,15196,2548,13.45,1346,18512
Maharashtra,Steel,2020,13859,16.87,8818,7653,,17077,877
Kerala,IT,,15640,46.33,29776,8439,46.17,5126,10731
Chhattisgarh,IT,2016,9236,26.15,11551,1812,90.59,5829,12149
Gujarat,Electronics,2018,47001,70.51,17667,2576,10.52,3802,11834
Punjab,Electronics,2017,14429,4.24,29722,8399,28.14,18094,20068
Odisha,Mining,2024,23516,31.72,28814,2064,66.66,218,5783
Uttarakhand,Food Processing,2025,20534,3.21,nan,3593,47.86,13085,7378
Goa,Pharmaceutical,2016,47364,18.51,14745,8145,37.76,10163,2915
Bihar,Textile,2025,26338,45.13,25289,4719,89.04,3545,9897
Goa,Electronics,2019,42629,21.89,17921,9136,32.42,6044,21405
Kerala,Food Processing,2017,11517,41.33,23896,1668,13.47,8893,9946
Haryana ,Automobile,2021,17823,55.92,15373,1632,87.27,13433,1241
Bihar,Chemical,2016,4064,53.94,9706,290,57.59,10376,15289
Rajasthan,Chemical,2019,44776,61.59,19792,3142,72.82,7691,11837
Uttarakhand,Chemical,2025,22366,95.28,8150,9404,42.72,16818,10971
Chhattisgarh,Food Processing,2023,683,50.03,22301,6608,63.17,3531,5360
Madhya Pradesh,Energy,2024,23241,10.36,11380,8156,56.84,11664,5212
Karnataka,Mining,2016,32056,33.98,24808,6341,46.27,18427,9977
West Bengal,Mining,2016,37784,53.54,27717,3830,60.03,15893,
Haryana,Food Processing,2025,8510,63.83,15750,9800,32.52,9267,486
Jharkhand ,,2020,34075,74.37,9074,3525,83.25,5970,17891
Karnataka,Mining,2022,46633,1.51,24439,3486,66.87,19690,20734
Maharashtra,Automobile,2020,45692,25.35,9786,9102,30.94,6652,18324
West Bengal,Food Processing,2020,17953,43.49,15484,9066,28.61,12694,22213
Bihar,Chemical,2020,7847,26.6,7669,9724,59.92,4128,9440
Kerala,Mining,2016,39060,31.16,7010,888,18.57,12180,20482
Gujarat,Automobile,2025,34261,42,20567,2270,22.69,15785,17888
Jharkhand,Pharmaceutical,2024,36585,95.78,12367,7052,89.45,2711,4139
Jharkhand ,Food Processing,2023,16824,27.16,21827,7697,43.77,19092,289
Assam,IT,2019,35979,68.88,26961,5801,13.71,2676,12261
Uttar Pradesh,Pharmaceutical,2018,5861,11.59,29046,,,18411,18340
nan,Food Processing,2019,27658,56.78,26684,345,16.55,5011,6465
Bihar,Food Processing,2018,11670,94.62,2713,2718,17.95,17422,21245
Madhya Pradesh,Energy,2016,16353,16.12,19518,3360,45.28,19940,9494
Karnataka,Automobile,2025,18615,89.62,10599,1414,90.24,5247,18690
Maharashtra,Energy,2021,10588,13.32,13078,4287,94.01,,15490
West Bengal,Steel,2021,36889,89.5,16307,,36.22,2597,2068
Maharashtra,Electronics,2018,27797,2.47,Unknown,1850,27.38,18766,24389
Rajasthan,Automobile,2015,20127,50.83,nan,,40.24,16626,23896
Bihar,Automobile,2017,3219,42.75,7671,830,85.63,5310,5238
Jharkhand,Chemical,2019,22143,28.58,1867,3341,,3976,22820
Telangana,Textile,2025,23355,64.77,25045,4947,78.73,10110,2799
Punjab ,Pharmaceutical,2015,22260,17.39,2243,9874,,11066,24616
Andhra Pradesh,Chemical,2025,20297,62.19,1386,1731,69.63,3407,21375
Telangana,Chemical,2022,35181,35.4,11178,,74.58,3389,21194
Gujarat,Electronics,2020,30317,34.44,26117,8181,,7331,8107
Odisha,Textile,2021,1794,38.09,20624,5750,35.41,451,4192
Tamil Nadu,IT,2015,2990,99.75,10634,,33.2,9709,18969
Kerala,Automobile,2015,32595,96.33,25274,6045,80.85,8701,921
Odisha,Energy,2021,10337,20.87,12849,9415,,17733,22477
Andhra Pradesh,Textile,2022,44903,32.47,1767,630,62.31,14670,1237
Jharkhand,Steel,2024,39438,75.23,10364,7986,29.03,13269,15798
Madhya Pradesh,Textile,2024,41951,84.71,21509,6994,41.22,8011,17051
Karnataka,Food Processing,2023,8317,69.65,11113,1757,40.28,17635,18655
Bihar,IT,2025,3885,16.47,24656,,51.85,15565,17496
Telangana,Pharmaceutical,2021,38189,4.77,18364,9320,,6238,13297
Uttar Pradesh,Electronics,2025,6640,94.79,27052,71,53.11,3075,22000
nan,Textile,2020,5454,3.09,858,2747,55,19032,6327
Goa,Food Processing,,14529,23.07,9593,9053,27.05,7907,17940
Goa,Chemical,2017,42116,78.95,19621,5588,23.15,1022,14792
Madhya Pradesh,Textile,2017,16597,10.76,13063,2704,52.39,15918,3254
Punjab,Mining,2025,14653,,6565,7014,63.37,15983,12810
West Bengal,Mining,2018,33215,90.13,21477,6070,84.99,3246,16368
Gujarat,Food Processing,2019,26540,38.97,9096,2552,78.46,10812,8334
Goa,Textile,2018,8846,10.43,12700,8728,49.67,1971,
Punjab,Pharmaceutical,2024,7563,87.11,7181,6069,73.02,16204,6284
Maharashtra,Chemical,2023,,38.35,nan,5422,47.37,10206,24085
West Bengal,Chemical,2017,28898,66.74,5848,8372,62.32,12529,10263
Goa ,Pharmaceutical,2022,36243,55.91,5253,1129,94.33,11775,2866
Uttar Pradesh,Energy,2019,7714,47.18,10404,8133,63.09,4544,9990
Kerala,Steel,2020,33548,88.15,27727,7747,65.9,2958,16847
Kerala,Food Processing,2022,14852,74.82,23850,633,43.98,609,16987
Uttar Pradesh,Electronics,2017,515,63.71,15878,6301,79.27,256,22035
Punjab,Chemical,2023,48761,7.11,9997,8614,14.76,2347,17839
Rajasthan,Electronics,2024,18349,55.72,17288,8552,10.32,13620,14651
Uttar Pradesh,Pharmaceutical,2023,22693,9.83,16700,3409,75.15,15400,14204
Chhattisgarh,Energy,2023,33786,98.67,27498,2721,14.54,19870,10925
Telangana,Automobile,2019,37380,52.74,28756,,73.2,1570,5932
Maharashtra,Mining,2023,521,81.2,5279,764,17.66,8633,13121
Andhra Pradesh,Electronics,2020,14565,,13201,9540,62,14870,5172
Assam,Electronics,2020,25571,22.52,8502,2035,34.83,9192,20127
Telangana,Food Processing,2017,547,64.73,9642,3488,83.33,9748,1001
Madhya Pradesh ,Textile,2023,24303,48.42,18769,3109,20.34,9955,3528
Maharashtra,IT,2022,39573,40.3,21540,5992,76.53,9872,16656
Maharashtra,Automobile,2017,,70.1,994,3192,79.34,11218,
Bihar,Energy,2020,6213,65.29,21214,9239,71.24,14882,9502
Chhattisgarh,IT,2018,30702,26.96,8182,3461,94.47,11332,14934
Uttar Pradesh,Steel,2015,3812,42.84,16839,3826,61.47,18427,16156
Haryana,Steel,2023,9367,4.73,20467,4679,83.49,2798,5734
West Bengal,Food Processing,2019,43750,96.65,4526,933,83.84,15931,7004
Bihar,Chemical,2019,6756,74.63,23561,9192,34.03,11765,18992
Uttarakhand,Textile,2016,2560,84.77,17835,1005,68.83,13090,24967
West Bengal,Energy,2021,49980,70.92,24739,1163,15.98,14172,15334
Rajasthan,Food Processing,2025,23303,34.8,22779,2315,92.79,13230,2513
Gujarat,Automobile,2019,19456,55.84,16020,7518,83.99,4140,118
Uttar Pradesh,IT,2021,24793,87.7,2259,3361,68.41,17476,67
Haryana,Energy,2023,34605,79.54,199,4709,22.32,13950,3417
nan,Textile,2018,2954,13.87,26238,6242,33.36,1943,17133
Kerala ,Electronics,2022,25035,66.46,11297,2967,57.59,14627,14493
Assam,Mining,2015,44729,,3429,9547,14.37,13202,7272
Assam,Electronics,2016,20014,73.8,13980,5778,82.62,17028,15488
Odisha,Steel,2025,28964,13.17,29162,5889,81.29,5623,4567
Gujarat,Automobile,2021,35791,11.61,7767,9103,92.16,14501,15488
Assam,Steel,2025,13006,1.42,29212,,15.44,18020,23293
Uttar Pradesh,Mining,2025,48560,55.41,19647,1467,68.89,17226,4583
Haryana,Automobile,,15350,44.43,2823,6491,87.73,12816,13050
Chhattisgarh,Pharmaceutical,2017,,44.58,15251,3756,65.15,5137,14950
Maharashtra,Electronics,2015,,75.09,12190,805,24.45,5840,24338
Chhattisgarh,Energy,2024,9690,63.66,14819,7892,68.37,9898,24831
Maharashtra,Textile,2024,10527,79.58,3488,3479,24.3,8221,19272
Punjab,Food Processing,2025,46818,13.22,6955,8778,51.38,17005,20705
Punjab,Food Processing,2025,5283,2.41,21070,5539,62.65,5228,9193
Bihar ,Chemical,2016,26013,60.12,11609,9931,68.01,1430,561
Haryana,Pharmaceutical,2025,21071,16.57,2698,4836,64.06,,17345
Uttar Pradesh ,Steel,2019,20673,6.13,3855,8428,77.56,280,9076
Bihar,Energy,2017,7839,79.11,28521,5147,28.57,12082,24743
Kerala,Automobile,2015,569,8.71,19461,4037,88.36,15638,24075
Tamil Nadu,IT,2025,2595,61.28,5563,9236,77.35,16723,6880
Kerala,Automobile,2023,17582,72.24,12883,2670,86.06,7202,22021
Madhya Pradesh,Mining,2018,5680,50.05,634,9479,39.47,886,3561
Kerala ,Mining,2020,44847,80.92,27515,6716,41.2,7941,13056
Punjab,Energy,2025,30003,53.51,21135,6158,15.32,6456,
Rajasthan,Food Processing,2017,4165,17.55,4548,3012,83.38,18403,12995
Goa,Pharmaceutical,2021,41904,8.32,1167,5348,29.54,5298,1480
Gujarat,Energy,2023,15136,24.7,8566,9344,52.58,,13810
Kerala,Chemical,2019,38302,68.95,22237,255,55.58,12523,3904
Rajasthan,Automobile,2025,39592,7.17,20648,387,11.01,12217,3814
Telangana,Textile,2024,48370,88.98,6788,4548,84.28,14753,4595
Maharashtra,Food Processing,2020,41479,10.2,5233,185,49.46,18098,20818
Kerala,Steel,2015,4354,82.03,9254,7595,17.18,18429,19428
Odisha,Steel,2024,10772,33.81,2704,1826,57.03,12311,21107
Rajasthan,Textile,2016,38257,71.53,5658,7269,54.3,163,4097
Punjab,Chemical,2016,,44.91,29018,2816,51.62,13672,18440
Rajasthan,Food Processing,2022,6580,19.17,7513,3553,57.41,14663,4657
Assam,Steel,2018,28649,37.6,21387,8173,69.22,12233,13311
Jharkhand,Energy,2022,3133,22.48,16705,9296,27.31,14780,8950
Chhattisgarh,Pharmaceutical,2020,29558,30.19,8095,731,52.65,19774,8113
Assam,Electronics,2025,34899,89.07,20451,5050,39.64,18328,5630
Uttar Pradesh,Automobile,2021,18522,22.77,6909,2110,74.5,3686,8574
West Bengal ,Food Processing,2016,34151,87.22,19396,4584,30.87,844,1010
Karnataka,Food Processing,2025,26042,1.54,16285,4085,77.55,7226,4508
West Bengal,Electronics,2022,23780,69.93,28844,8222,58.76,12508,5927
Andhra Pradesh,Pharmaceutical,2025,15577,19.68,7222,,61.79,18129,14926
Rajasthan,Pharmaceutical,,21373,48.18,23398,4591,77.33,11632,20746
Maharashtra,Electronics,2015,,36.89,21560,4278,23.9,15968,8923
Uttarakhand,Electronics,,,84.75,22035,4002,39.66,1842,15373
West Bengal,IT,2022,31755,4.34,19089,2507,24.3,13108,
nan,Electronics,2020,45349,90.11,11942,5365,70.25,9409,5200
Kerala,Pharmaceutical,2020,42689,90.67,12782,2952,24.79,10901,24080
Madhya Pradesh,,2016,12638,2.23,16796,3395,52.51,19296,1890
Haryana,Chemical,2016,4456,6.27,4757,6334,41.87,16027,8643
Haryana,Food Processing,2015,43257,93.81,19682,7452,88.2,17456,20636
Uttar Pradesh,Mining,2017,19445,91.6,3500,5105,63.26,18437,15973
Kerala,,2015,22625,17.58,3549,5177,61.31,10887,6408
Odisha,Mining,2018,33406,85.29,17263,667,76.08,19933,8340
Odisha,Energy,2020,13183,42.62,17746,3847,37.95,15473,8077
Maharashtra,Electronics,2015,23806,30.79,21464,5555,42.54,6912,22700
Chhattisgarh,Energy,2015,47300,7.76,21016,6114,22.94,3378,17452
Assam,Textile,2023,24731,,9945,8815,70.45,13546,2140
Karnataka,Automobile,2025,33156,64.53,nan,5133,73.77,3439,14715
West Bengal,Textile,2017,,95.57,14627,1728,58.29,11592,18126
Assam,Automobile,2020,46772,29.36,5146,7425,85.7,6963,12015
Goa,Energy,2022,23993,93.65,10176,6433,10.51,7185,17151
Gujarat,IT,2019,15520,25.16,9805,1850,34.05,8836,2282
Uttarakhand,Mining,2016,48750,32.72,2608,9785,26.18,15265,22846
West Bengal,Mining,2024,751,82.7,11074,9483,34.05,12878,17679
Karnataka,Food Processing,2020,49681,95.16,481,7758,72.68,2352,11162
Gujarat,Food Processing,2018,23901,20.88,13717,7851,71.23,14758,20455
Madhya Pradesh,Mining,2021,47598,95.29,27562,740,13.33,19816,18769
Punjab,IT,2017,21428,63.91,17099,349,89.95,9827,2912
Goa,Chemical,2019,21539,54.83,19310,2385,90.35,8496,22273
Rajasthan,Steel,2023,16087,95.48,nan,8680,86.43,2906,21555
Karnataka,Automobile,2022,30016,13.7,8456,6820,92.16,,18816
Bihar,Mining,2023,4350,78.9,716,7489,66.24,7021,10759
Telangana,IT,2019,11897,27.6,21369,9741,26.69,9423,586
Uttarakhand,IT,2016,36821,59.01,19639,8766,80.26,11474,7307
Gujarat,Electronics,2020,7819,80.15,17368,2274,23.6,15812,103
Gujarat,Energy,2023,49032,85.84,22114,6207,27.51,6495,14846
Assam,Chemical,2020,36872,29.61,15624,8828,48.6,6724,5091
Karnataka,Chemical,2020,41603,33.76,15579,6817,79.84,12248,11027
Uttarakhand,Mining,2019,36434,16.32,17043,6206,45.83,15752,10132
Punjab ,Automobile,2021,43104,66.01,6453,9087,93.04,6262,4013
Karnataka,Chemical,2015,7185,93.97,24556,3157,82.69,15930,17848
Chhattisgarh,Textile,2017,39127,60.73,21151,1624,59.46,14919,14781
Uttarakhand,Chemical,2025,17290,2.76,23890,7647,59.85,10635,9087
Chhattisgarh ,Automobile,2017,26468,8.92,10745,1496,33.94,16234,10460
Andhra Pradesh,Automobile,2020,19484,16.71,967,3972,70.29,11874,15130
Karnataka,Pharmaceutical,2022,41095,57.28,18636,2350,18.67,10176,7794
Rajasthan,Chemical,2015,41747,17.84,11605,9911,77.98,9488,8242
Chhattisgarh,Steel,2018,23430,72.43,2598,8323,84.7,13987,10971
Haryana,Textile,2021,41826,69.55,22184,5253,56.38,12993,7324
Jharkhand,Automobile,2021,9814,93.04,25416,3774,77.91,3947,2192
Assam,Steel,2016,49027,15.18,10816,2766,46.78,14475,
Haryana,Food Processing,,1075,5.9,15112,4313,78.41,18689,10877
Uttar Pradesh,Chemical,2021,20638,82.4,26875,6876,77.9,3488,23816
Rajasthan,Pharmaceutical,2020,6685,64.19,481,,65.68,17559,14603
Assam,Chemical,2016,9100,47.78,20143,1856,17.36,18244,8377
Rajasthan,Automobile,2015,3510,87.7,22637,8093,89.22,1644,9213
Rajasthan,Electronics,2024,8097,22.84,29595,9679,22.95,19455,17929
Jharkhand,Textile,2025,47539,87.6,24035,1807,60.37,415,19675
Maharashtra,IT,2016,9614,,25380,8670,60.31,18204,11637
Uttar Pradesh,Energy,2024,8517,7.29,4873,1290,16.67,10384,17430
Kerala,Textile,2023,48255,34.6,24930,5965,42.82,,12799
Kerala,Food Processing,2018,30549,99.25,19414,8745,15.01,,6515
Maharashtra,Chemical,2024,30101,29.54,23660,8588,76.35,7683,21409
Goa,Pharmaceutical,2024,44822,7.17,10265,1624,62.85,5090,9150
Uttar Pradesh,Chemical,2020,3245,37.73,14456,2125,32.9,17349,22297
nan,Automobile,2024,43997,45.36,25644,9666,35.99,14452,11311
Telangana,Steel,2021,22149,30.19,5456,334,15.99,3907,9842
Bihar,Pharmaceutical,2015,27418,41.06,16954,5967,30.73,9267,8592
Telangana,Chemical,2025,45826,4.62,18730,1956,37.99,8537,10743
Kerala,Food Processing,2018,23218,4.87,25621,9130,38.72,12720,3994
Tamil Nadu,Electronics,2023,34256,82.81,22271,153,94.59,15931,17235
Tamil Nadu ,Food Processing,2021,16958,36.57,6585,7175,20.12,14364,2293
Telangana,IT,2023,19555,49.59,24046,1887,59.29,13816,22364
Jharkhand ,Mining,2023,17582,83.82,14219,447,11.52,8329,6552
Kerala,IT,2018,9162,84.41,17694,4052,44.69,11577,20676
Bihar,Energy,2023,10633,86.63,16274,76,44.69,682,23825
Punjab,Energy,2019,30127,66.79,29767,1139,32.84,10284,9472
West Bengal,Steel,2017,9439,1.24,19414,,79.74,3447,3116
Karnataka,Chemical,2024,14790,20.07,7199,7377,61.59,5282,6618
Andhra Pradesh,Pharmaceutical,2024,27331,44.09,19240,2715,60.58,3767,24101
Maharashtra,Food Processing,2021,23529,90.69,29407,947,76.18,16639,20218
Tamil Nadu,Textile,2020,10498,92.04,8253,9739,93.44,6142,15529
Telangana,Steel,2018,27620,99.45,7828,4235,73.65,15259,19637
Haryana,Steel,2015,16579,15.67,22706,954,69.04,10488,4450
Odisha,Textile,2021,2766,4.77,26745,,66.45,8567,18904
Telangana,Mining,2018,2739,51.3,23885,4852,67.4,2444,789
Uttarakhand,Mining,2024,26514,15.41,27876,4164,21.67,15334,6713
Bihar,IT,2020,8661,44.28,12672,4778,54.25,7654,17783
Telangana,Mining,2019,49551,43.46,9199,7244,39.18,10257,12070
Kerala,Textile,2022,10167,41.29,13843,3875,42.96,6795,13590
Bihar,Steel,2023,22430,41.07,28516,2045,,14465,16653
Gujarat,Mining,2024,8892,54.62,16088,9226,55.99,9265,18760
Uttar Pradesh,Mining,2023,9524,22.47,29041,1410,62.59,15471,7715
Bihar,Automobile,2015,6792,17.66,2899,2189,38.49,4483,7545
Goa,Mining,2021,24249,90.85,nan,4275,73.67,16143,18144
Maharashtra,Pharmaceutical,2016,24008,81.68,17436,1842,50.75,15236,5973
West Bengal,Food Processing,2022,9351,15.29,8541,321,10.53,3131,14573
Telangana,Food Processing,2025,35208,51.89,17705,2529,16.93,,6725
Bihar,Pharmaceutical,2021,9738,97.46,4566,5789,43.11,17870,10609
Tamil Nadu,IT,2017,45712,90.9,27546,4524,18.83,918,7091
Bihar,Mining,2023,39012,48.06,1121,4978,65.46,19617,19712
Gujarat,Steel,2025,4073,26.74,914,6867,72.38,14555,10849
Uttar Pradesh,Steel,2016,16603,74.39,15922,154,43.92,14166,18617
Assam,Energy,2016,38029,89.02,12494,2914,79.72,18960,4436
Odisha,IT,2021,9763,90.87,16699,7342,53.27,10413,18411
Jharkhand,Pharmaceutical,2019,35185,21.71,13986,6950,24.45,7808,16225
Madhya Pradesh,IT,2024,,39.82,12839,1552,83,18414,9027
Uttar Pradesh,Pharmaceutical,,41398,33.54,6303,8898,92.14,,10994
Telangana ,IT,2018,42044,9.77,8445,2676,20.53,5700,17110
Jharkhand,Mining,2025,40701,6.24,29134,6080,10.51,8823,11485
Bihar,Energy,2017,17567,32.51,16979,2270,48.78,,16325
Assam,IT,2024,31369,45.97,27055,5533,72.15,525,7562
Jharkhand,Automobile,2017,2361,55.62,13091,9197,33.96,16299,24532
Kerala,Steel,2021,43586,60.94,nan,7692,90.33,1615,16131
Maharashtra,Chemical,2020,24625,55.62,8297,5068,18.25,15828,5607
Chhattisgarh,Textile,2022,42893,63.7,23853,8256,35.01,11417,13968
Gujarat,Food Processing,2017,2452,39.21,9981,,87.51,10105,9794
Jharkhand ,Textile,2019,36865,3.88,19554,4396,19.6,19790,23009
Uttarakhand,Automobile,2016,10931,93.43,14863,5575,35.71,4814,7840
Haryana ,Chemical,2018,46983,25.14,18814,8334,92.53,17604,20162
Gujarat,Mining,2018,44609,32.44,6736,6644,90.49,13314,5855
Karnataka,Food Processing,2020,21208,27.83,28674,7050,60.34,6076,15482
Gujarat,Steel,2023,8153,22.65,3222,2942,58.49,14503,19962
Haryana,IT,2021,46371,92.23,21404,1406,39.49,5751,7064
Gujarat,Food Processing,2019,44243,32.61,17089,8259,28.73,17927,12457
Gujarat,Pharmaceutical,2022,19254,59.8,25917,4238,18.67,10726,14656
Uttarakhand,Mining,2016,4769,37.91,26473,7118,71.44,478,18842
Uttar Pradesh,Steel,2017,48161,79.93,6949,1972,67.75,5994,1397
Karnataka,Steel,2017,27141,85.84,16890,874,53.86,18398,5160
Haryana,Food Processing,2018,1646,64.7,1093,8111,34.38,10705,4293
Punjab,Steel,2022,28764,51.36,22185,6775,49.22,18307,7069
Chhattisgarh ,Mining,2023,9606,88.51,29609,5586,85.48,18626,1129
Maharashtra,Textile,2024,45661,23.68,9152,3780,45.95,10871,16151
West Bengal,Mining,2022,,15.35,23277,6022,24.57,10698,5535
Haryana,Electronics,2018,7782,55.42,14399,6587,88.45,18176,2743
Karnataka,Automobile,2022,872,76.09,6588,5296,18.07,8840,21095
Gujarat,Pharmaceutical,2018,500,96.96,29536,7671,37.08,13860,24352
Punjab,Energy,2019,19888,51.43,1625,8482,79.84,11281,10775
Chhattisgarh,IT,2018,11767,56.53,2388,4811,22.39,19909,3738
Uttar Pradesh,Food Processing,2024,27707,18.62,17276,5981,10.64,4400,24912
Madhya Pradesh,Automobile,2022,16874,85.8,10086,2022,80.51,12895,2526
Andhra Pradesh,Food Processing,2020,36776,,21894,4787,31.8,15367,5243
Andhra Pradesh,Energy,2025,14855,35.12,16797,6041,12.98,1168,22420
Chhattisgarh,Chemical,2025,38532,30.95,3023,3333,90.81,11071,19424
Maharashtra,Chemical,2022,3368,55.15,19911,7127,55.79,5264,11570
West Bengal,Pharmaceutical,2025,22655,14.14,7542,9878,70.29,17245,7027
Karnataka,Electronics,2015,19104,29.77,7277,3584,60.8,18411,20895
Uttarakhand,Textile,2017,25968,24.08,27048,2379,52.99,18595,21970
Goa,Food Processing,2020,,48.69,6603,2670,85.88,17991,966
Uttar Pradesh,Energy,2018,8648,92.85,22657,615,23.21,599,3033
Andhra Pradesh,Pharmaceutical,2025,24992,82.02,26647,5459,46.56,14362,15917
Maharashtra,IT,2015,5427,77.32,3396,9112,15.64,16081,20232
Assam,Steel,2020,34981,14.34,28307,4002,25.29,6635,12608
Tamil Nadu,Automobile,2018,30090,2.39,13848,9281,75.34,19715,24812
Maharashtra,Energy,2016,13580,18.6,17682,5232,44.48,19555,10033
Assam ,Steel,2021,15466,78.93,22394,311,90.41,16911,12869
Rajasthan,IT,2025,46475,55.85,16838,8232,72.97,17276,19789
Telangana,Automobile,2020,29120,17.93,8425,850,44.43,10760,20535
Madhya Pradesh,Steel,2020,35795,45.89,9027,1417,35.18,19404,19991
Andhra Pradesh,Electronics,2021,11396,82.16,6417,4008,42.32,2984,7021
Rajasthan,Automobile,2023,16901,31.96,28900,8406,84.85,18550,24569
Andhra Pradesh,Steel,2025,25178,9.66,19100,1023,82.57,5177,4086
Madhya Pradesh,IT,2022,,7.95,1642,4347,36.03,6926,14747
Tamil Nadu,Textile,2015,15446,6.39,20826,3314,61.42,10445,6386
Bihar,,,14292,94.56,18079,3582,30.07,1939,16841
Kerala,Mining,2015,7949,62.26,10042,2846,78.55,4461,12512
Rajasthan,Pharmaceutical,2017,22993,20.22,4160,6583,36.2,12638,19270
Telangana,Food Processing,2019,43189,77.36,18248,555,23.49,6593,7255
Gujarat,IT,2024,23946,69.75,Unknown,9126,90.21,4411,24784
Chhattisgarh,Energy,2015,42488,91.02,2511,3599,29.49,7408,
Assam,Automobile,2021,12294,58.3,15552,5884,56.47,3973,6424
Telangana,Textile,2019,33648,64.81,22903,7648,10.85,17025,20563
Kerala,Electronics,2023,22799,18.13,16578,6192,40.12,15712,15382
Kerala,Energy,2018,29214,33.84,26038,7718,65.92,11250,5485
Bihar,Automobile,2016,12121,79.63,25289,247,66.51,1130,11760
Telangana,IT,2022,31758,36.15,8768,6223,62.79,1717,18681
Telangana,Steel,2023,3518,44.69,28847,1180,22.69,10080,2465
Tamil Nadu,IT,2015,18133,10.05,23882,5643,66.37,14064,11931
Uttarakhand,Mining,2021,11185,31.81,17569,8255,65.47,6981,5180
Tamil Nadu,Automobile,2019,48443,85.51,11374,5651,74.88,17616,9055
Tamil Nadu,Mining,2020,16345,67.78,11041,558,58.21,18459,10481
Rajasthan,Energy,2024,5344,29.06,8291,8828,58.84,3740,5721
Andhra Pradesh,Mining,2015,4128,72.04,12190,7985,18.85,17371,14691
Goa,Steel,2021,36064,87.91,23657,2216,19.14,17249,6269
Uttar Pradesh,IT,2016,14831,94.98,16130,1081,26.75,10237,2577
Jharkhand ,Mining,2018,9646,37.01,29948,5194,26.24,12871,1542
Uttarakhand,Electronics,2020,48858,57.42,29495,645,91.78,14117,22606
Bihar,Mining,2016,8020,34.16,20958,3946,62.53,1180,12005
Bihar,Textile,,21477,6.37,10378,2996,72.35,17676,17280
Punjab,Mining,2016,29229,32.88,25244,454,44.05,17620,22285
Telangana,Pharmaceutical,2022,4381,79.88,6967,1621,22.05,15529,13858
Madhya Pradesh,Electronics,2017,8158,33.76,16742,5626,91.08,17411,14256
Kerala,Steel,2023,36303,98.01,11596,6288,44.73,10659,17684
Andhra Pradesh,Steel,2018,18427,78.64,27410,2070,65.47,8492,9771
